".InternetGatewayDevice.","IGD",,,"object","-","R","V",,"The top-level object for an Internet Gateway Device."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.ChannelsInUse",,,,"string (1024)","-","O","S N",,"The channels that the access point determines to be currently in use (including any that it is using itself).
Comma-separated list.  Ranges in the form ""n-m"" are permitted."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.DeviceOperationMode",,,,"enum(InfrastructureAccessPoint,WirelessBridge,WirelessRepeater,WirelessStation)","O","O",,,"The current access-point operating mode.  The optional modes permit the AP to be configured as a wireless bridge (to bridge two wired networks), repeater (a bridge that also serves wireless clients), or wireless station. Ad hoc stations are not supported.  Enumeration of:
""InfrastructureAccessPoint""
""WirelessBridge"" (Optional)
""WirelessRepeater"" (Optional)
""WirelessStation"" (Optional)"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.DistanceFromRoot",,,,"unsignedInt","O","O",,,"The number of hops from the root access point to the wireless repeater or bridge."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.PeerBSSID",,,,"string","O","O",,,"The MAC address of the peer in wireless repeater or bridge mode."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AuthenticationServiceMode",,,,"enum(None,LinkAuthentication,RadiusClient)","O","O",,,"Indicates whether another service is involved in client authentication (LinkAuthentication for a co-located authentication server; RadiusClient for an external RADIUS server).  Enumeration of:
""None""
""LinkAuthentication"" (Optional)
""RadiusClient"" (Optional)"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.TotalBytesSent",,,,"unsignedInt","-","C","S N",,"Total number of bytes sent over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.TotalBytesReceived",,,,"unsignedInt","-","C","S N",,"Total number of bytes received over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.TotalPacketsSent",,,,"unsignedInt","-","C","S N",,"Total number of packets sent over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.TotalPacketsReceived",,,,"unsignedInt","-","C","S N",,"Total number of packets received over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.TotalAssociations",,,,"unsignedInt","-","C","S N",,"The number of devices currently associated with the access point.  This corresponds to the number of entries in the AssociatedDeivce table."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.ClientIsolation",,,,"boolean","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.X_TPOSS_MaxTxPower",,,,"unsignedInt","O","O",,,"MaxTxPower in mW"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.X_TPOSS_TxPower",,,,"unsignedInt","O","O",,,"TxPower in mW"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.X_TPOSS_AntennaSelection",,,,"unsignedInt","O","O",,,"Antenna Selection Mode"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AssociatedDevice.","AscDev",,,,,,,,
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AssociatedDevice.{i}.",,,,"object","-","C","S",,"A table of the devices currently associated with the access point.  The size of this table is given by InternetﾭGatewayﾭDevice.ﾭLANﾭDevice.ﾭ{i}.ﾭWLANﾭConfiguration.ﾭ{i}.ﾭTotalAssociations.  This object must be implemented for CPE that contain an 802.11 interface on the LAN side."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AssociatedDevice.{i}.AssociatedDeviceMACAddress",,,,"string","-","C","S N",,"The MAC address of an associated device."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AssociatedDevice.{i}.AssociatedDeviceIPAddress",,,,"string(64)","-","C","S N",,"The IP address or DNS name of an associated device."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AssociatedDevice.{i}.AssociatedDeviceAuthenticationState",,,,"boolean","-","C","S N",,"Whether an associated device has authenticated (true) or not (false)."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AssociatedDevice.{i}.LastRequestedUnicastCipher",,,,"string(256)","-","O","S N",,"The unicast cipher that was most recently used for a station with a specified MAC address (802.11i only)."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AssociatedDevice.{i}.LastRequestedMulticastCipher",,,,"string(256)","-","O","S N",,"The multicast cipher that was most recently used for a station with a specified MAC address (802.11i only)."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AssociatedDevice.{i}.LastPMKId",,,,"string(256)","-","O","S N",,"The pairwise master key (PMK) that was most recently used for a station with a specified MAC address (802.11i only)."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.WEPKey.","WEP",,,,,,,,
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.WEPKey.{i}.",,,,"object","-","C",,,"This is a table of WEP keys.  The size of this table is fixed with exactly 4 entries (with instance numbers 1 through 4).  This object must be implemented for CPE that contain an 802.11 interface on the LAN side."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.WEPKey.{i}.WEPKey",,,,"string(128)","C","-",,,"A WEP key expressed as a hexadecimal string. The WEP encryption level is inferred from the key length, e.g. 10 characters for 40-bit encryption, or 26 characters for 104-bit encryption.
When read, this parameter returns an empty string, regardless of the actual value."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.PreSharedKey.","PSK",,,,,,,,
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.PreSharedKey.{i}.",,,,"object","-","C",,,"This is a table of preshared keys.  The size of this table is fixed with exactly 10 entries (with instance numbers 1 through 10).  This object must be implemented for CPE that contain an 802.11 interface on the LAN side."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.PreSharedKey.{i}.PreSharedKey",,,,"string(64)","C","-",,,"A literal WPA PSK expressed as a hexadecimal string.
The first table entry contains the default PreSharedﾭKey (InternetﾭGatewayﾭDevice.ﾭLANﾭDevice.ﾭ{i}.ﾭWLANﾭConfiguration.ﾭ{i}.PreSharedﾭKey.1.ﾭPreSharedﾭKey).
When read, this parameter returns an empty string, regardless of the actual value."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.PreSharedKey.{i}.KeyPassphrase",,,,"string(63)","C","-",,,"A passphrase from which WEP or PSK keys were generated.  This parameter for information only-the CPE is not responsible for generating the key based on the passphrase.
For WEP keys it must either be a valid key length divided by 8, in which case each byte contributes 8 bits to the key, or else must consist of Hex digits and be a valid key length divided by 4, in which case each byte contributes 4 bits to the key.
For WPA PSK, the key is generated as specified by WPA, which uses PBKDF2 from PKCS #5: Password-based Cryptography Specification Version 2.0 (RFC2898)..
Note: The 802.11i standard specifies rules for generation of WEP keys from a passphrase.
When read, this parameter returns an empty string, regardless of the actual value."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.PreSharedKey.{i}.AssociatedDeviceMACAddress",,,,"string","O","O",,,"The MAC address associated with a preshared key, or an empty string if no MAC address is associated with the key."
".InternetGatewayDevice.LANDevice.{i}.Hosts.","Hosts",,,"object","-","R","S",,"This object provides information about each of the hosts on the LAN, including those whose IP address was allocated by the CPE using DHCP as well as hosts with statically allocated IP addresses."
".InternetGatewayDevice.LANDevice.{i}.Hosts.HostNumberOfEntries",,"count(Host)",,"unsignedInt","-","R",,,"Number of entries in the Host table."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.","H",,,,,,,,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.",,0,1,"object","-","R","S",,"Host table."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_DM_HostInfo",,,,"pointer","O","O","i",,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_DM_HostID",,,,"binary(256)","O","O","SuN",,"internal unique Host ID, either htype-chaddr or DHCP Option 61"
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.IPAddress",,,,"ipv4","-","R","Su",,"Current IP Address of the host."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.AddressSource",,,,"enum(DHCP,Static,AutoIP)","-","R","S",,"Indicates whether the IP address of the host was allocated by the CPE using DHCP, was assigned to the host statically, or was assigned using automatic IP address allocation.  Enumeration of:
""DHCP""
""Static""
""AutoIP"""
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.LeaseTimeRemaining",,1,,"int[-1:]","-","R","S N",,"DHCP lease time remaining in seconds.  A value of -1 indicates an infinite lease.  The value must be 0 (zero) if the AddressSource is not DHCP."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.MACAddress",,,,"string","-","R","S",,"MAC address of the host."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.Layer2Interface",,,,"selector","-","R","S N",," This parameter is the full hierarchical parameter name of a particular LAN**InterfaceConfig object or a WLANConfiguration object. For example: InternetGatewayDevice.LANDevice.-1.LANEthernetInterfaceConfig.2. In the case of an embedded Ethernet switch, the Layer2Interface parameter references the LANEthernetInterfaceConfig object that corresponds to the switch port the device is connected to (a LANEthernetInterfaceConfig instance for each switch port). In the case of an embedded WLAN access point, the Layer2Interface parameter references the WLANConfiguration object that corresponds to the SSID the device is connected to (if the access point supports multiple SSIDs, then each SSID is a separate instance)."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.VendorClassID",,,,"binary(255)","-","R","S N",,"Vendor Class Identifier DHCP option (Option 60) of the host. It MAY be defined when AddressSource is DHCP. An empty value indicates this option is not used."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.ClientID",,,,"binary(255)","-","R","S N",,"Client Identifier DHCP option (Option 61) for the specific IP connection of the client. The option value is binary, so an exact match is REQUIRED. It MAY be defined when AddressSource is DHCP. An empty value indicates this option is not used."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.UserClassID",,,,"binary(255)","-","R","S N",,"User Class Identifier DHCP option (Option 77) of the host. It MAY be defined when AddressSource is DHCP. An empty value indicates this option is not used."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.HostName",,,,"string(64)","-","R","S",,"The device's host name or empty string if unknown."
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.InterfaceType",,,,"enum(Ethernet,USB,802.11,HomePNA,HomePlug,Other)","-","R","S",,"Type of physical interface through which this host is connected to the CPE.   Enumeration of:
""Ethernet""
""USB""
""802.11""
""HomePNA""
""HomePlug""
""MoCA""
""Other"""
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.Active",,,,"boolean","-","R","S",,"Whether or not the host is currently present on the LAN.  The method of presence detection is a local matter to the CPE.
The ability to list inactive hosts is Optional.  If the CPE includes inactive hosts in this table, this variable MUST be set to zero for each inactive host.  The length of time an inactive host remains listed in this table is a local matter to the CPE."
,,,,,,,,,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_TPBS_State",,,,"enum(Invalid,Active,DHCPOffered,DHCPExpired)","-","R","S",,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_TPBS_DHCPPool",,,,"selector","-","R","S",,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_TPBS_RelayAgentAddress",,,,"ipv4","-","R","S",,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_TPBS_AgentCircuitId",,,,"binary(255)","-","R","S",,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_TPBS_AgentRemoteId",,,,"binary(255)","-","R","S",,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_TPBS_SubScriberId",,,,"binary(255)","-","R","S",,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_TPBS_DHCPRequestOptionList",,,,"binary(255)","-","R","S",,
".InternetGatewayDevice.LANDevice.{i}.Hosts.Host.{i}.X_TPBS_DHCPParameterRequestList",,,,"binary(255)","-","R","S",,
".InternetGatewayDevice.WANDevice.","WANDev",,,,,,,,
".InternetGatewayDevice.WANDevice.{i}.",,,,"object","-","R",,,"Each instance contains all objects associated with a particular physical WAN interface."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionNumberOfEntries",,"count(WANConnectionDevice)",,"unsignedInt","-","R",,,"Number of instances of WANﾭConnectionﾭDevice in this WANDevice."
".InternetGatewayDevice.WANDevice.{i}.WANCommonInterfaceConfig.","CommonCfg",,,"object","-","R","R",,"This object models WAN interface properties common across all connection instances."
".InternetGatewayDevice.WANDevice.{i}.WANCommonInterfaceConfig.EnabledForInternet",,,,"boolean","R","R",,,"Used to enable or disable access to and from the Internet across all connection instances."
".InternetGatewayDevice.WANDevice.{i}.WANCommonInterfaceConfig.WANAccessType",,,,"enum(DSL,Ethernet,POTS)","-","R","S",,"Specifies the WAN access (modem) type.  Enumeration of:
""DSL""
""Ethernet""
""POTS"""
".InternetGatewayDevice.WANDevice.{i}.WANCommonInterfaceConfig.Layer1UpstreamMaxBitRate",,,,"unsignedInt","-","R","S",,"Specifies the maximum upstream theoretical bit rate for the WAN device in bits per second."
".InternetGatewayDevice.WANDevice.{i}.WANCommonInterfaceConfig.Layer1DownstreamMaxBitRate",,,,"unsignedInt","-","R","S",,"Specifies the maximum downstream theoretical bit rate for the WAN device in bits per second."
".InternetGatewayDevice.WANDevice.{i}.WANCommonInterfaceConfig.PhysicalLinkStatus",,,,"enum(Up,Down,Initializing,Unavailable)","-","R","S",,"Indicates the state of the physical connection (link) from WANDevice to a connected entity.  Enumeration of:
""Up""
""Down""
""Initializing""
""Unavailable"""
".InternetGatewayDevice.WANDevice.{i}.WANCommonInterfaceConfig.WANAccessProvider",,,,"string(256)","-","O","S",,"Name of the Service Provider providing link connectivity on the WAN."
".InternetGatewayDevice.WANDevice.{i}.WANCommonInterfaceConfig.TotalBytesSent",,,,"unsignedInt","-","R","S N",,"The cumulative counter for total number of bytes sent upstream across all connection service instances on the WAN device."
